City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bud,90.0,US,1586624559.0,40.0,39.45,-86.18,60.8,12.75
grand-lahou,61.0,CI,1586624465.0,80.0,5.14,-5.02,83.25,8.23
kungurtug,82.0,RU,1586624559.0,55.0,50.6,97.52,36.14,1.83
belyy yar,0.0,RU,1586624559.0,74.0,53.6,91.39,30.2,4.47
kemijarvi,52.0,FI,1586624560.0,95.0,66.71,27.43,24.8,6.26
gambo,95.0,CF,1586624560.0,75.0,4.65,22.26,75.25,1.3
atar,0.0,MR,1586624560.0,9.0,20.52,-13.05,98.92,12.82
piopio,8.0,NZ,1586624560.0,97.0,-38.47,175.02,46.0,1.99
fethiye,20.0,TR,1586624560.0,55.0,36.62,29.12,66.2,2.24
katsuura,75.0,JP,1586624560.0,93.0,35.13,140.3,51.8,2.24
ushtobe,55.0,KZ,1586624560.0,45.0,45.25,77.98,49.93,5.66
les escoumins,89.0,CA,1586624560.0,84.0,48.11,-69.02,31.71,11.81
nicoya,96.0,CR,1586624560.0,41.0,10.15,-85.45,93.2,14.99
markdale,90.0,CA,1586624560.0,44.0,44.32,-80.65,44.01,11.41
lalmohan,0.0,BD,1586624561.0,71.0,22.34,90.74,82.44,10.83
goure,92.0,NE,1586624561.0,10.0,13.98,10.27,93.99,8.99
alofi,100.0,NU,1586624561.0,100.0,-19.06,-169.92,66.2,10.33
fonte boa,75.0,BR,1586624561.0,80.0,-2.5,-66.27,83.12,0.43
los llanos de aridane,75.0,ES,1586624561.0,68.0,28.66,-17.92,69.8,12.75
vaitape,100.0,PF,1586624561.0,73.0,-16.52,-151.75,83.79,9.35
port macquarie,0.0,AU,1586624561.0,36.0,-31.43,152.92,62.6,14.99
cabo san lucas,40.0,MX,1586624425.0,51.0,22.89,-109.91,75.99,26.4
chavakkad,75.0,IN,1586624561.0,79.0,10.53,76.05,86.0,2.24
ust-kut,88.0,RU,1586624562.0,91.0,56.79,105.77,29.43,3.6
new richmond,1.0,US,1586624562.0,23.0,45.12,-92.54,57.0,5.82
russell,1.0,US,1586624562.0,34.0,32.35,-85.2,69.01,3.36
baghmara,0.0,IN,1586624563.0,14.0,23.8,86.21,83.48,5.21
salym,12.0,RU,1586624563.0,88.0,60.06,71.48,35.82,6.08
pierre,90.0,US,1586624402.0,80.0,44.37,-100.35,39.2,17.22
khandyga,80.0,RU,1586624563.0,97.0,62.67,135.6,25.34,4.72
lloydminster,40.0,CA,1586624563.0,57.0,53.28,-110.0,21.2,18.34
bac lieu,27.0,VN,1586624497.0,76.0,9.29,105.72,80.33,7.49
arawa,81.0,PG,1586624563.0,80.0,-6.21,155.54,79.09,2.82
mehran,20.0,IR,1586624564.0,50.0,33.12,46.16,53.6,6.93
santa cruz de tenerife,20.0,ES,1586624564.0,63.0,28.47,-16.25,73.0,17.22
barstow,1.0,US,1586624564.0,76.0,34.9,-117.02,55.99,12.75
ojinaga,1.0,MX,1586624564.0,36.0,29.57,-104.42,75.99,5.82
turukhansk,100.0,RU,1586624564.0,89.0,65.82,87.98,34.38,17.02
marawi,0.0,PH,1586624564.0,70.0,8.0,124.29,66.54,2.3
broken hill,0.0,AU,1586624564.0,57.0,-31.95,141.43,51.8,12.75
mahajanga,20.0,MG,1586624564.0,74.0,-15.72,46.32,82.4,7.38
alice springs,44.0,AU,1586624564.0,35.0,-23.7,133.88,57.2,5.82
aksha,0.0,RU,1586624564.0,38.0,50.28,113.29,43.29,3.71
pavlovka,100.0,RU,1586624565.0,52.0,52.69,47.14,45.68,11.74
volgodonsk,40.0,RU,1586624535.0,61.0,47.51,42.15,43.05,9.6
beringovskiy,94.0,RU,1586624565.0,93.0,63.05,179.32,7.12,11.01
verkh-neyvinskiy,74.0,RU,1586624565.0,79.0,57.27,60.14,36.34,4.76
amarante do maranhao,87.0,BR,1586624565.0,73.0,-5.57,-46.74,84.47,1.86
port-gentil,40.0,GA,1586624565.0,83.0,-0.72,8.78,80.6,9.17
takoradi,100.0,GH,1586624415.0,82.0,4.88,-1.76,82.33,6.64
ambon,3.0,ID,1586624432.0,74.0,-3.7,128.18,82.56,5.53
minab,100.0,IR,1586624565.0,61.0,27.15,57.08,82.4,4.7
yerofey pavlovich,0.0,RU,1586624565.0,75.0,53.97,121.97,32.25,2.75
colchester,67.0,GB,1586624566.0,40.0,51.89,0.9,75.2,9.17
noumea,15.0,NC,1586624406.0,82.0,-22.28,166.46,75.0,1.12
araouane,0.0,ML,1586624566.0,8.0,18.9,-3.53,97.92,4.94
shitanjing,0.0,CN,1586624566.0,12.0,39.23,106.34,44.01,5.01
souillac,75.0,MU,1586624566.0,88.0,-20.52,57.52,78.01,17.22
barcelos,90.0,PT,1586624566.0,87.0,41.54,-8.62,64.99,12.75
charters towers,70.0,AU,1586624566.0,68.0,-20.1,146.27,72.48,2.21
ranfurly,100.0,NZ,1586624566.0,66.0,-45.13,170.1,46.99,6.87
eyl,0.0,SO,1586624527.0,69.0,7.98,49.82,83.16,14.36
lac du bonnet,96.0,CA,1586624566.0,58.0,50.25,-96.06,33.01,14.0
tazovskiy,100.0,RU,1586624567.0,99.0,67.47,78.7,35.82,17.49
narsaq,75.0,GL,1586624567.0,23.0,60.92,-46.05,51.8,20.8
husavik,90.0,IS,1586624567.0,93.0,66.04,-17.34,37.4,16.11
yulara,63.0,AU,1586624567.0,23.0,-25.24,130.99,62.6,3.36
wanaka,90.0,NZ,1586624567.0,66.0,-44.7,169.15,48.9,6.24
banda aceh,40.0,ID,1586624567.0,82.0,5.56,95.32,80.08,6.51
turzovka,78.0,SK,1586624567.0,28.0,49.4,18.62,59.0,8.05
north bend,90.0,US,1586624567.0,87.0,43.41,-124.22,55.0,6.93
qui nhon,100.0,VN,1586624568.0,85.0,13.77,109.23,78.33,2.24
sinnamary,93.0,GF,1586624465.0,69.0,5.38,-52.95,82.42,12.1
ozinki,93.0,RU,1586624568.0,54.0,51.18,49.68,45.91,10.8
coahuayana,40.0,MX,1586624568.0,33.0,18.73,-103.68,86.0,6.64
river falls,1.0,US,1586624443.0,32.0,44.86,-92.62,57.0,6.93
bluefields,40.0,NI,1586624409.0,70.0,12.01,-83.76,87.8,4.7
ambalema,75.0,CO,1586624568.0,63.0,4.78,-74.76,64.4,6.93
hofn,81.0,IS,1586624568.0,83.0,64.25,-15.21,41.32,20.27
yeppoon,75.0,AU,1586624569.0,83.0,-23.13,150.73,75.2,4.7
half moon bay,90.0,US,1586624417.0,87.0,37.46,-122.43,55.99,3.36
petatlan,20.0,MX,1586624569.0,66.0,17.52,-101.27,84.2,5.82
severo-yeniseyskiy,1.0,RU,1586624569.0,94.0,60.37,93.04,21.97,4.38
mochishche,27.0,RU,1586624569.0,59.0,55.16,83.12,37.4,2.24
lublin,0.0,PL,1586624475.0,23.0,51.0,23.0,53.6,5.82
grand-santi,73.0,GF,1586624569.0,51.0,4.25,-54.38,88.81,5.23
varadero,20.0,CU,1586624401.0,52.0,23.15,-81.25,89.6,5.82
inhambane,100.0,MZ,1586624569.0,77.0,-23.86,35.38,74.25,6.35
aosta,20.0,IT,1586624569.0,17.0,45.77,7.42,75.99,6.93
samborondon,75.0,EC,1586624569.0,74.0,-1.95,-79.73,84.2,3.36
guayaramerin,48.0,BO,1586624570.0,48.0,-10.84,-65.36,91.33,2.71
dzerzhinsk,40.0,RU,1586624570.0,44.0,56.24,43.46,45.0,11.18
hobyo,0.0,SO,1586624570.0,66.0,5.35,48.53,83.71,15.01
polson,90.0,US,1586624340.0,47.0,47.69,-114.16,36.0,21.92
pangody,100.0,RU,1586624570.0,97.0,65.85,74.49,36.09,17.58
tessalit,0.0,ML,1586624570.0,8.0,20.2,1.01,95.4,6.2
santa paula,1.0,US,1586624570.0,63.0,34.35,-119.06,64.99,3.36
santa maria,2.0,BR,1586624484.0,41.0,-29.68,-53.81,75.58,5.68
erdenet,76.0,MN,1586624570.0,32.0,49.03,104.08,41.36,5.88
iqaluit,90.0,CA,1586624466.0,79.0,63.75,-68.51,23.0,2.51
verkhnyaya inta,57.0,RU,1586624571.0,94.0,65.98,60.31,15.4,4.85
ubinskoye,97.0,RU,1586624571.0,97.0,55.31,79.68,29.75,7.36
yala,97.0,TH,1586624571.0,87.0,6.33,101.25,75.51,1.95
kyra,0.0,RU,1586624571.0,40.0,49.58,111.98,39.74,3.71
saint-paul,49.0,RE,1586624571.0,78.0,-21.01,55.27,77.0,14.99
valuyki,82.0,RU,1586624571.0,61.0,50.2,38.11,43.12,8.32
taguatinga,56.0,BR,1586624571.0,59.0,-12.39,-46.57,85.28,4.99
safaga,0.0,EG,1586624571.0,29.0,26.73,33.94,75.2,8.05
hun,14.0,LY,1586624572.0,23.0,29.13,15.95,69.87,16.17
rognan,40.0,NO,1586624572.0,59.0,67.1,15.39,37.4,5.82
henties bay,0.0,NA,1586624572.0,58.0,-22.12,14.28,72.64,10.33
mezen,94.0,RU,1586624572.0,96.0,65.85,44.24,20.35,4.05
rodrigues alves,54.0,BR,1586624572.0,73.0,-7.74,-72.65,85.35,0.81
trincomalee,1.0,LK,1586624572.0,78.0,8.57,81.23,81.46,6.22
mayo,1.0,US,1586624507.0,35.0,38.89,-76.51,57.99,9.17
harrismith,38.0,ZA,1586624572.0,31.0,-28.27,29.13,59.61,5.1
kawalu,36.0,ID,1586624573.0,81.0,-7.38,108.21,73.06,1.14
vidim,70.0,RU,1586624573.0,89.0,56.41,103.11,28.47,3.6
aripuana,41.0,BR,1586624573.0,56.0,-9.17,-60.63,90.48,1.61
bullhead city,40.0,US,1586624573.0,55.0,35.15,-114.57,66.99,6.04
balkhash,0.0,KZ,1586624573.0,49.0,46.84,74.98,45.82,10.56
kempele,0.0,FI,1586624573.0,55.0,64.91,25.5,33.8,4.7
coolum beach,36.0,AU,1586624573.0,76.0,-26.53,153.1,61.0,1.01
umm lajj,12.0,SA,1586624573.0,52.0,25.02,37.27,70.27,11.63
dubbo,4.0,AU,1586624500.0,70.0,-32.25,148.62,48.2,4.7
abengourou,75.0,CI,1586624465.0,72.0,6.73,-3.5,81.9,3.38
alihe,12.0,CN,1586624573.0,54.0,50.57,123.72,40.77,3.4
asau,80.0,RO,1586624574.0,26.0,46.43,26.4,59.0,5.82
culit,0.0,PH,1586624574.0,78.0,8.95,125.36,73.4,4.41
linguere,4.0,SN,1586624574.0,7.0,15.4,-15.12,106.88,4.63
chapais,90.0,CA,1586624566.0,63.0,49.78,-74.85,30.2,11.41
ayan,0.0,RU,1586624574.0,89.0,56.45,138.17,31.59,15.23
buchanan,71.0,LR,1586624574.0,74.0,5.88,-10.05,83.19,7.67
san marcos,20.0,US,1586624540.0,71.0,33.14,-117.17,62.01,4.7
sao jose da coroa grande,62.0,BR,1586624574.0,63.0,-8.9,-35.15,85.8,10.27
roswell,1.0,US,1586624459.0,26.0,34.02,-84.36,66.0,4.7
mobile,75.0,US,1586624424.0,30.0,30.78,-88.2,69.8,12.75
sylva,100.0,RU,1586624575.0,36.0,58.03,56.76,46.4,8.95
inuvik,20.0,CA,1586624575.0,84.0,68.35,-133.72,5.0,5.55
praia da vitoria,20.0,PT,1586624408.0,72.0,38.73,-27.07,64.4,11.77
razole,0.0,IN,1586624575.0,85.0,16.48,81.83,78.75,3.38
brae,97.0,GB,1586624575.0,81.0,60.4,-1.35,48.2,21.92
loreto,52.0,MX,1586624575.0,8.0,22.27,-101.97,80.22,23.35
visby,100.0,SE,1586624575.0,57.0,57.64,18.3,48.2,13.87
kysyl-syr,98.0,RU,1586624575.0,96.0,63.9,122.76,31.42,8.95
ola,100.0,RU,1586624575.0,91.0,59.58,151.28,15.03,8.72
san policarpo,44.0,PH,1586624575.0,80.0,12.18,125.51,77.45,2.66
zhigansk,100.0,RU,1586624575.0,98.0,66.77,123.37,28.96,12.15
ust-tsilma,63.0,RU,1586624576.0,94.0,65.44,52.15,18.7,2.89
urubicha,0.0,BO,1586624576.0,28.0,-15.38,-62.95,91.27,2.77
regina,20.0,CA,1586624535.0,42.0,50.45,-104.62,30.2,18.34
khurba,43.0,RU,1586624576.0,82.0,50.41,136.88,33.53,1.68
buhovo,77.0,BG,1586624576.0,38.0,42.77,23.57,60.8,9.17
horki,37.0,BY,1586624576.0,73.0,54.29,30.98,35.24,6.15
prizren,20.0,XK,1586624576.0,27.0,42.21,20.74,64.4,11.41
bundaberg,40.0,AU,1586624404.0,94.0,-24.85,152.35,71.01,4.7
quatre cocos,75.0,MU,1586624577.0,88.0,-20.21,57.76,78.01,17.22
kapoeta,36.0,SS,1586624577.0,30.0,4.77,33.59,88.9,9.31
ponta delgada,20.0,PT,1586624577.0,67.0,37.73,-25.67,62.6,20.8
coruripe,3.0,BR,1586624377.0,61.0,-10.13,-36.18,86.63,12.71
ruteng,32.0,ID,1586624577.0,74.0,-8.61,120.47,62.92,2.17
vanavara,21.0,RU,1586624577.0,94.0,60.34,102.28,26.87,3.8
wucheng,67.0,CN,1586624577.0,83.0,29.6,118.17,44.28,3.29
anloga,20.0,GH,1586624577.0,70.0,5.79,0.9,87.8,11.41
eureka,90.0,US,1586624577.0,81.0,40.8,-124.16,53.01,10.47
neryungri,55.0,RU,1586624578.0,77.0,56.67,124.65,28.87,1.57
zhanaozen,47.0,KZ,1586624578.0,46.0,43.3,52.8,49.71,10.83
bernalda,5.0,IT,1586624578.0,64.0,40.41,16.69,73.4,5.82
usinsk,6.0,RU,1586624578.0,94.0,65.99,57.53,14.72,3.38
limbang,75.0,MY,1586624578.0,88.0,4.75,115.0,80.6,1.12
nanakuli,90.0,US,1586624578.0,88.0,21.39,-158.15,73.4,3.36
durango,46.0,MX,1586624578.0,9.0,24.83,-104.83,76.44,28.23
batagay-alyta,100.0,RU,1586624578.0,86.0,67.8,130.41,18.27,6.08
planeta rica,75.0,CO,1586624578.0,59.0,8.41,-75.59,91.4,4.9
plettenberg bay,100.0,ZA,1586624578.0,59.0,-34.05,23.37,66.52,3.15
isangel,37.0,VU,1586624579.0,61.0,-19.55,169.27,77.29,8.61
lakes entrance,80.0,AU,1586624579.0,66.0,-37.88,147.98,53.01,1.01
mirabad,81.0,AF,1586624579.0,26.0,30.44,61.84,82.76,6.49
barra do corda,73.0,BR,1586624400.0,66.0,-5.5,-45.25,88.16,1.92
panama city,40.0,PA,1586624383.0,70.0,8.99,-79.52,90.0,8.05
hamilton,90.0,US,1586624412.0,30.0,39.18,-84.53,59.0,8.05
sindgi,38.0,IN,1586624579.0,16.0,16.92,76.23,88.56,8.37
shar,19.0,KZ,1586624579.0,69.0,49.59,81.05,35.46,4.07
sonoita,69.0,MX,1586624580.0,83.0,31.85,-112.83,54.0,10.89
fort abbas,28.0,PK,1586624580.0,25.0,29.19,72.85,88.0,5.75
montepuez,75.0,MZ,1586624580.0,85.0,-13.13,39.0,68.97,5.14
hualmay,51.0,PE,1586624580.0,65.0,-11.1,-77.61,78.01,10.22
rundu,87.0,NA,1586624580.0,54.0,-17.93,19.77,78.8,5.82
varhaug,90.0,NO,1586624580.0,93.0,58.61,5.65,46.4,17.22
tonantins,78.0,BR,1586624580.0,81.0,-2.87,-67.8,85.06,2.35
astana,97.0,KZ,1586624338.0,69.0,51.18,71.45,39.2,11.18
coquimbo,100.0,CL,1586624580.0,63.0,-29.95,-71.34,64.4,11.41
toamasina,40.0,MG,1586624580.0,94.0,-18.17,49.38,75.2,6.93
xining,0.0,CN,1586624581.0,24.0,36.62,101.77,37.09,0.43
margate,23.0,GB,1586624578.0,63.0,51.38,1.39,70.0,6.93
sao jose de piranhas,41.0,BR,1586624486.0,57.0,-7.12,-38.5,86.31,3.91
portalegre,70.0,PT,1586624581.0,88.0,39.29,-7.43,73.0,4.7
podgornoye,75.0,RU,1586624581.0,48.0,51.73,39.15,39.2,11.18
okha,82.0,RU,1586624581.0,96.0,53.57,142.95,28.85,12.95
hong gai,91.0,VN,1586624581.0,94.0,20.96,107.09,75.2,4.7
bohodukhiv,79.0,UA,1586624581.0,60.0,50.16,35.53,42.48,11.63
camacha,40.0,PT,1586624581.0,72.0,33.08,-16.33,64.4,13.87
goderich,21.0,CA,1586624582.0,61.0,43.75,-81.72,48.0,7.99
karaton,40.0,ID,1586624582.0,78.0,-6.34,106.1,80.6,8.05
nantucket,1.0,US,1586624557.0,42.0,41.28,-70.1,48.2,23.04
groningen,94.0,NL,1586624458.0,32.0,53.25,6.75,69.01,4.7
kushima,100.0,JP,1586624582.0,82.0,31.46,131.23,55.0,4.0
iskateley,63.0,RU,1586624582.0,95.0,67.68,53.15,14.85,8.99
alugan,40.0,PH,1586624582.0,79.0,12.22,125.48,77.47,2.46
general pico,84.0,AR,1586624583.0,35.0,-35.66,-63.76,76.05,14.05
bolo,6.0,PH,1586624583.0,88.0,13.79,120.98,78.01,2.46
vicosa,60.0,BR,1586624331.0,89.0,-20.75,-42.88,79.0,1.01
okhotsk,97.0,RU,1586624583.0,96.0,59.38,143.3,24.75,1.7
pimenteiras,89.0,BR,1586624583.0,73.0,-6.25,-41.42,83.86,3.27
mega,26.0,ET,1586624583.0,52.0,4.05,38.3,65.07,11.18
ipixuna,75.0,BR,1586624583.0,66.0,-1.76,-48.8,87.8,5.82
aykhal,88.0,RU,1586624583.0,58.0,66.0,111.5,30.2,6.71
butiama,40.0,TZ,1586624583.0,78.0,-1.77,33.97,75.2,11.41
